Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3
Fideos Tallespin 500 Gr Marolio,https://www.mercadolibre.com.ar/fideos-tallespin-500-gr-marolio/p/MLA29283203?pdp_filters=category:MLA412073#searchVariation=MLA29283203&position=1&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,3.150,TIENDA DINAMICA FULL,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1400148503,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarines Don Vicente Paquete 500 Grs Pack 5 Unid,https://articulo.mercadolibre.com.ar/MLA-1399894133-fideos-tallarines-don-vicente-paquete-500-grs-pack-5-unid-_JM#position=34&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,12.066,Mayorista Masivos,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1399894133,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Integrales Organicos X 500gr Campo Claro,https://articulo.mercadolibre.com.ar/MLA-900069715-fideos-integrales-organicos-x-500gr-campo-claro-_JM#position=35&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,2.707,MULTIORGANICA,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#900069715,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Integrales Orgánicos Campo Claro,https://articulo.mercadolibre.com.ar/MLA-1101308398-fideos-integrales-organicos-campo-claro-_JM#position=36&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,3.716,DIETETICA CALLLAO,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1101308398,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Pack X 10 Fideos Secos Badaloni - Tallarines Amarillos Nro 2,https://articulo.mercadolibre.com.ar/MLA-1123643112-pack-x-10-fideos-secos-badaloni-tallarines-amarillos-nro-2-_JM#position=37&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,10.739,CA4852892,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1123643112,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Tallarines Pasta Orgánica Grün Fideos 500 Grs,https://articulo.mercadolibre.com.ar/MLA-1102087743-tallarines-pasta-organica-grun-fideos-500-grs-_JM#position=38&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,4.110,ATROCHEYMOCHE SHOP,Nuevo  |  3 vendidos,(+10 disponibles),Nuevo  |  3 vendidos,No disponible,#1102087743,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Pack X 10 Fideos Secos Badaloni - Tallarines Verdes Nro 1,https://articulo.mercadolibre.com.ar/MLA-1123613062-pack-x-10-fideos-secos-badaloni-tallarines-verdes-nro-1-_JM#position=39&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,10.739,CA4852892,Nuevo  |  1 vendido,(+50 disponibles),Nuevo  |  1 vendido,No disponible,#1123613062,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Pack X 10 Fideos Secos Badaloni - Tallarines Amarillos Nro 1,https://articulo.mercadolibre.com.ar/MLA-1123631241-pack-x-10-fideos-secos-badaloni-tallarines-amarillos-nro-1-_JM#position=40&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,10.739,CA4852892,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1123631241,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
"Fideos Shirataki Ancho, Dietetico De 300gr Konjac",https://articulo.mercadolibre.com.ar/MLA-1392116235-fideos-shirataki-ancho-dietetico-de-300gr-konjac-_JM#position=41&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,3.000,MAKITOAR,Nuevo  |  1 vendido,No disponible,Nuevo  |  1 vendido,No disponible,#1392116235,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Tallarines Pasta Orgánica Grün Fideos 500 Gr X2u,https://articulo.mercadolibre.com.ar/MLA-1102136024-tallarines-pasta-organica-grun-fideos-500-gr-x2u-_JM#position=42&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,7.720,ATROCHEYMOCHE SHOP,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1102136024,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
