Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Mochila Matera T-go Yerbero Bolso Matero Correa Porta Termo Color Negro Eb334,https://www.mercadolibre.com.ar/mochila-matera-t-go-yerbero-bolso-matero-correa-porta-termo-color-negro-eb334/p/MLA29747716#searchVariation=MLA29747716&position=15&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,32.000,IMPORT__BAIRES,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,OFERTA DEL DÍA,#1404388779,2024-03-17 21:59:41,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,
Hibiscus En Flores Para Infusion X 1 Kg,https://www.mercadolibre.com.ar/hibiscus-en-flores-para-infusion-x-1-kg/p/MLA21238782#searchVariation=MLA21238782&position=26&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,37.620,NEWGARDEN,Nuevo  |  +5mil vendidos,(27 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1339185707,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Caja Deco In-t 6 Variedades Te En Hebras Zen - Para Regalar!,https://articulo.mercadolibre.com.ar/MLA-1117462085-caja-deco-in-t-6-variedades-te-en-hebras-zen-para-regalar-_JM#position=44&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,24.080,TIENDA.ANDALHUE,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1117462085,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te En Saquitos La Virginia Virgin Islands X 50 Saquitos,https://www.mercadolibre.com.ar/te-en-saquitos-la-virginia-virgin-islands-x-50-saquitos/p/MLA19855744#searchVariation=MLA19855744&position=28&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.189,Ecomodico,Nuevo  |  +100 vendidos,(71 disponibles),Nuevo  |  +100 vendidos,No disponible,#1272834154,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Blends Té En Hebras - Pack X 5 Bolsas De Aprox 50g Cada Una,https://articulo.mercadolibre.com.ar/MLA-816275879-blends-te-en-hebras-pack-x-5-bolsas-de-aprox-50g-cada-una-_JM#position=45&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,15.675,M.S.ALVAREZ,Nuevo  |  +1000 vendidos,(2479 disponibles),Nuevo  |  +1000 vendidos,No disponible,#816275879,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Pack X6: Te Inti Zen Y Chamana -  A Elección 100% Natural,https://articulo.mercadolibre.com.ar/MLA-686987897-pack-x6-te-inti-zen-y-chamana-a-eleccion-100-natural-_JM#position=46&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,17.400,TIENDA.ANDALHUE,Nuevo  |  +5mil vendidos,(10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#686987897,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te Verde Con Limon Y Naranja Heredia X 25 Saquitos,https://www.mercadolibre.com.ar/te-verde-con-limon-y-naranja-heredia-x-25-saquitos/p/MLA19775510#searchVariation=MLA19775510&position=23&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,2.717,GREENANDML,Nuevo  |  +500 vendidos,(22 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1360994047,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Bombilla Pico De Loro Acero Inoxidable Filtro Pala Cuchara,https://articulo.mercadolibre.com.ar/MLA-1156364284-bombilla-pico-de-loro-acero-inoxidable-filtro-pala-cuchara-_JM#position=47&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,6.799,MATESUR,Nuevo  |  +1000 vendidos,(149 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1156364284,2024-03-17 21:59:41,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bombillas para Mate,
Te Surtido Hierbas Heredia X 25 Saquitos,https://www.mercadolibre.com.ar/te-surtido-hierbas-heredia-x-25-saquitos/p/MLA19900654#searchVariation=MLA19900654&position=30&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,2.445,GREENANDML,Nuevo  |  +100 vendidos,(19 disponibles),Nuevo  |  +100 vendidos,No disponible,#1656542100,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Yerba Canarias Te Verde Y Jengibre 1kg,https://www.mercadolibre.com.ar/yerba-canarias-te-verde-y-jengibre-1kg/p/MLA20729900#searchVariation=MLA20729900&position=31&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,7.861,PRIMOR MAYORISTA,Nuevo  |  +100 vendidos,(161 disponibles),Nuevo  |  +100 vendidos,No disponible,#1404394357,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate,,
