Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=9&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(28 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Trix cereales 330gr,https://www.mercadolibre.com.ar/trix-cereales-330gr/p/MLA22307876?pdp_filters=category:MLA1423#searchVariation=MLA22307876&position=26&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,7.226,ECOMODICO,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1658566926,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Arrocitas Sin Sal Sesamo Lino 101g S/ Tacc Kosher,https://www.mercadolibre.com.ar/galletitas-arrocitas-sin-sal-sesamo-lino-101g-s-tacc-kosher/p/MLA19733961?pdp_filters=category:MLA1423#searchVariation=MLA19733961&position=35&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.099,CAPSULANDIA,Nuevo  |  +1000 vendidos,(28 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1241405163,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Galletitas,nan
cereales Copos De Maíz Azucarados 3 Arroyos X 4 Kg,https://www.mercadolibre.com.ar/cereales-copos-de-maiz-azucarados-3-arroyos-x-4-kg/p/MLA28863363?pdp_filters=category:MLA1423#searchVariation=MLA28863363&position=28&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,11.744,POSITIVA,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1642512772,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Hogareñas Mix Cereales Tripack Mediano,https://www.mercadolibre.com.ar/galletitas-hogarenas-mix-cereales-tripack-mediano/p/MLA20941266?pdp_filters=category:MLA1423#searchVariation=MLA20941266&position=34&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,2.530,TAP GROCERY,Nuevo  |  +1000 vendidos,(29 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297602625,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Galletitas,nan
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=52&search_layout=stack&type=item&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,599,VÍVET MARKET,Nuevo  |  +10mil vendidos,(50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1141531811,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Chocolate X 500 Gr - Env A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-500-gr-env-a-todo-el-pais/p/MLA26913450?pdp_filters=category:MLA1423#searchVariation=MLA26913450&position=32&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,3.791,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(8 disponibles),Nuevo  |  +100 vendidos,No disponible,#1505088868,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barritas Integra almendra y nuez caja con 10 unidades de 42g,https://www.mercadolibre.com.ar/barritas-integra-almendra-y-nuez-caja-con-10-unidades-de-42g/p/MLA21256154?pdp_filters=category:MLA1423#searchVariation=MLA21256154&position=37&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,8.699,LEPOTMARKET,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1317285359,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Crema De Avellanas Lasfor 200 Gr,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-crema-de-avellanas-lasfor-200-gr/p/MLA21790731?pdp_filters=category:MLA1423#searchVariation=MLA21790731&position=36&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.552,AEH MALL,Nuevo  |  +100 vendidos,(18 disponibles),Nuevo  |  +100 vendidos,No disponible,#1398695297,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Avena Banana Integra 40 Gr Caja X 10 Unidades,https://www.mercadolibre.com.ar/barra-de-avena-banana-integra-40-gr-caja-x-10-unidades/p/MLA28082296?pdp_filters=category:MLA1423#searchVariation=MLA28082296&position=40&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,9.623,GREENANDML,Nuevo  |  +100 vendidos,(11 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395575395,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Skarchitos Copos De Maiz Azucarados Cereal Granix ,https://www.mercadolibre.com.ar/skarchitos-copos-de-maiz-azucarados-cereal-granix/p/MLA21234058?pdp_filters=category:MLA1423#searchVariation=MLA21234058&position=38&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,2.542,01MERCADO,Nuevo  |  +1000 vendidos,(13 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1316686036,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
